epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,478.134,1.25435,3.68164,1.36484,0.33473,0.44094,0.34616,0.21561,1.42397,3.62641,1.38248,0.000472779,0.000472779,0.000472779
2,931.964,1.28689,2.56753,1.38498,0.76112,0.38235,0.43417,0.30808,1.37061,3.24676,1.55912,0.00085515,0.00085515,0.00085515
3,1399.55,1.2534,2.0212,1.3689,0.3872,0.57206,0.41522,0.26775,1.40083,3.12062,1.49968,0.00114321,0.00114321,0.00114321
